"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"4429","ENSG00000115361",410.902107847921,1.77225670406736,1.30997062193436e-08,5.45282084680914e-07,"ACADL"
"4444","ENSG00000115457",1176.1403871667,1.28507084651153,8.01913179469579e-06,0.000121489239486325,"IGFBP2"
"4446","ENSG00000115461",8706.69296610792,1.12503260584391,2.33964412030215e-06,4.3397651012675e-05,"IGFBP5"
"4468","ENSG00000115590",1615.50112764268,-1.00650641725799,0.00131607397070216,0.0080839156792291,"IL1R2"
"4474","ENSG00000115602",95.4521705489047,1.74920911953843,0.000877046865193377,0.00584548128740434,"IL1RL1"
"4511","ENSG00000115884",107490.425236674,-1.29458046140661,2.63314769643317e-05,0.000332024585285669,"SDC1"
"4552","ENSG00000116147",77.3517044249528,-1.46273200425613,8.43896034248839e-08,2.58198125968094e-06,"TNR"
"4617","ENSG00000116701",1447.75332650873,1.7319990540603,6.25077670370481e-11,5.06709801813437e-09,"NCF2"
"4691","ENSG00000117154",1.51653848286309,1.58920098141161,0.000617227981166704,0.00440214975541234,"IGSF21"
"4726","ENSG00000117472",31.0303154798321,-1.47283568845484,0.00131664585987661,0.00808577359251418,"TSPAN1"
"4747","ENSG00000117594",358.420121336542,2.22108322337066,1.46740367790847e-13,2.57542217435023e-11,"HSD11B1"
"4813","ENSG00000118308",143.695390998741,1.26578076398879,0.00224879097861114,0.0124911410457422,"LRMP"
"4838","ENSG00000118520",11.6060995066676,1.04547774199293,0.00984413024958407,0.0407878926903815,"ARG1"
"4840","ENSG00000118526",2081.11459977662,1.61820683246558,6.4250805268361e-07,1.4401009467618e-05,"TCF21"
"4871","ENSG00000118946",376.462194129243,1.41420971470807,2.10069568910351e-08,8.06215844263102e-07,"PCDH17"
"4958","ENSG00000119699",4879.67371858629,1.18163737785131,2.41381625874373e-06,4.45506266064628e-05,"TGFB3"
"5047","ENSG00000120280",85.7587729549276,1.33882447722855,0.00104120100456733,0.00670425328235887,"CXorf21"
"5069","ENSG00000120457",1398.61901636065,1.91094917496979,2.17746669570522e-09,1.17114929160404e-07,"KCNJ5"
"5134","ENSG00000120937",31.1057366450105,-1.21782839843957,0.000805147849762265,0.00545095762372925,"NPPB"
"5214","ENSG00000121797",2469.28004809129,-2.15555175059608,2.80414864394183e-07,7.09596198161738e-06,"CCRL2"
"5250","ENSG00000122122",553.705568352122,1.29694588683296,0.000227598198994568,0.00194561632309615,"SASH3"
"5281","ENSG00000122477",320.548095200977,1.07754678534744,5.71941636085673e-06,9.12452512091937e-05,"LRRC39"
"5303","ENSG00000122641",46246.0030782058,-1.82176081119768,2.18519406978254e-06,4.10657760941225e-05,"INHBA"
"5333","ENSG00000122862",1543.93079246462,1.58225270739572,2.50369086428086e-06,4.57617358214355e-05,"SRGN"
"5396","ENSG00000123405",450.828472193567,-1.08617831557954,5.22403276185958e-05,0.000580895410333196,"NFE2"
"5434","ENSG00000123689",236.148867509442,1.98330492761202,5.11539311314856e-08,1.71534277219905e-06,"G0S2"
"5435","ENSG00000123700",454.190000250236,1.69018553010098,1.03452446123091e-12,1.41127946047555e-10,"KCNJ2"
"5443","ENSG00000123843",131.232962315218,2.71367793447513,6.89913857398576e-17,2.79806684976298e-14,"C4BPB"
"5592","ENSG00000124762",9400.82280696983,-1.37337064284067,5.12427355725536e-22,5.49248921429814e-19,"CDKN1A"
"5608","ENSG00000124813",160.364342755954,1.02068956193957,0.00459935103630484,0.0224411840841458,"RUNX2"
"5615","ENSG00000124882",134.085638439916,-1.49552985692657,1.24708954714531e-05,0.000175469533468941,"EREG"
"5704","ENSG00000125657",31.8740631968876,1.95449474446951,2.18326901096664e-06,4.1055306740057e-05,"TNFSF9"
"5766","ENSG00000125878",51.8233977858253,1.9628060598195,5.14081833038924e-10,3.38347016955355e-08,"TCF15"
"5824","ENSG00000126259",32.823887213823,1.2489303750419,4.18143581846426e-05,0.000486407952650191,"KIRREL2"
"5939","ENSG00000127472",859.560683536882,1.49026723444062,5.76881148581362e-09,2.72222594830564e-07,"PLA2G5"
"5975","ENSG00000127863",542.888405049159,1.16997070707662,0.0060651641991734,0.0278117200833601,"TNFRSF19"
"5982","ENSG00000127928",1187.40991263449,-1.44796656237005,2.70766307151739e-05,0.000339158531312103,"GNGT1"
"5988","ENSG00000127954",5637.12614307775,-1.36940370487981,1.55563275004355e-07,4.31893155358992e-06,"STEAP4"
"6189","ENSG00000129675",1974.57325761256,1.48651758349685,1.68017891364763e-13,2.91477049458917e-11,"ARHGEF6"
"6191","ENSG00000129682",436.348743482536,1.81103994800807,4.7552117783428e-11,3.92069823878088e-09,"FGF13"
"6370","ENSG00000130812",183.347033783297,1.03490565079213,0.00053717591418144,0.0039465663491832,"ANGPTL6"
"6387","ENSG00000130940",199.727925829622,1.59754715179477,3.64019731468329e-07,8.82468512183159e-06,"CASZ1"
"6394","ENSG00000130962",2273.6548740247,-1.06747506523063,3.12062759914326e-11,2.71467465233297e-09,"PRRG1"
"6396","ENSG00000130988",57.518455567402,1.64653776052703,6.0102493009106e-05,0.00065283967433561,"RGN"
"6403","ENSG00000131018",1442.88248100983,1.52389076910934,3.53060006071032e-13,5.54766329958315e-11,"SYNE1"
"6436","ENSG00000131171",2401.47616788472,1.16558782911813,1.45893845572132e-05,0.000201220868258769,"SH3BGRL"
"6526","ENSG00000131831",45.9037110099373,2.54253228770565,4.37826473718798e-10,2.92001069538857e-08,"RAI2"
"6713","ENSG00000132965",333.927338478617,1.54762130357167,9.43425483276026e-08,2.83348338227312e-06,"ALOX5AP"
"6744","ENSG00000133116",1053.53701351878,1.7630690246196,1.7289187638164e-07,4.73001913761693e-06,"KL"
"6781","ENSG00000133454",172.656462173155,-1.19056298766834,2.10014843119227e-05,0.00027608258745923,"MYO18B"
"6853","ENSG00000134061",664.169005411684,1.45857335254583,0.000270484254881297,0.00223630122796074,"CD180"
"6915","ENSG00000134363",1216.42312611833,1.07632950261371,7.14998211851886e-08,2.25719291568656e-06,"FST"
"6940","ENSG00000134531",1540.17302613376,2.15192584299329,1.23018178610493e-25,2.63715826889866e-22,"EMP1"
"6941","ENSG00000134532",524.84913655167,1.34264065334092,9.85660104984029e-07,2.07590393479163e-05,"SOX5"
"6980","ENSG00000134769",114.363645812896,1.53859097386212,1.55347854449222e-05,0.000212793236318122,"DTNA"
"6998","ENSG00000134873",1389.66105932672,-2.72068823242548,8.92837556233569e-16,2.65305353838434e-13,"CLDN10"
"7010","ENSG00000134917",161.930115863131,1.77482996175424,8.10897659994236e-11,6.47251610950718e-09,"ADAMTS8"
"7074","ENSG00000135318",16259.2284930239,-1.19088822056697,7.93255968839729e-05,0.0008243489659563,"NT5E"
"7081","ENSG00000135346",4460245.11543925,-1.92416196385994,5.42535133707726e-05,0.000600611008219708,"CGA"
"7087","ENSG00000135373",102.57682287599,-2.60607022719073,3.10186630516192e-14,6.60235542911486e-12,"EHF"
"7139","ENSG00000135604",914.807947491122,-1.04876803970435,0.000152721718373884,0.00140253494854254,"STX11"
"7193","ENSG00000135905",276.374213635851,1.57748252245389,7.76731415174796e-06,0.000118091505735694,"DOCK10"
"7319","ENSG00000136531",20.5180056091802,2.03669548526133,2.23018804302212e-07,5.83543186985002e-06,"SCN2A"
"7327","ENSG00000136574",1396.92253713371,1.02820411304913,3.81755919667046e-05,0.000451250833440228,"GATA4"
"7330","ENSG00000136630",581.848488683476,1.07874232530856,4.62637154124795e-05,0.000526732407799444,"HLX"
"7373","ENSG00000136842",154.828637550482,-2.24262557236964,9.58362935078334e-09,4.18666497926797e-07,"TMOD1"
"7600","ENSG00000137960",307.111541434969,1.24839582349249,6.58944053111317e-19,3.80312094653401e-16,"GIPC2"
"7669","ENSG00000138316",948.079568108993,1.04623485056008,6.03128200519211e-05,0.000654650399782371,"ADAMTS14"
"7777","ENSG00000138821",16199.2484335918,-1.39109807667555,1.30617589943454e-10,9.87429498585125e-09,"SLC39A8"
"7964","ENSG00000140285",222.521451920945,2.83864081995629,1.20621798079762e-11,1.19870907416219e-09,"FGF7"
"8116","ENSG00000141338",326.674105791113,1.86962149607009,2.43708220800111e-08,9.14271390331616e-07,"ABCA8"
"8197","ENSG00000141753",4814.16286871087,1.46887985104293,2.51868937503984e-08,9.40185392085769e-07,"IGFBP4"
"8205","ENSG00000141905",992.854805069106,1.04745694344625,1.68772652111168e-07,4.63422217306529e-06,"NFIC"
"8266","ENSG00000142512",40.9644401781227,1.14553807876733,0.00746133271689677,0.0327717719156309,"SIGLEC10"
"8469","ENSG00000143627",167.375012406644,-5.45479123202409,8.90613722644956e-40,8.85116533929024e-36,"PKLR"
"8471","ENSG00000143631",27.6152748176473,2.08503366824457,4.52705900487904e-06,7.51056356298671e-05,"FLG"
"8548","ENSG00000144063",17.8005163363949,1.45119524788797,0.000315869508894014,0.00253608231699496,"MALL"
"8584","ENSG00000144366",9672.74895244313,-1.05258193762333,9.096727128708e-05,0.000919538479578257,"GULP1"
"8590","ENSG00000144407",143.150496571624,1.2488209159563,1.0306624280935e-05,0.000150156508698748,"PTH2R"
"8614","ENSG00000144583",70.2594980062067,2.08621788768346,7.17057178671935e-07,1.58354084225917e-05,"MARCH4"
"8694","ENSG00000145194",827.901228920588,-1.08264213091733,1.56677289605193e-08,6.25292395695619e-07,"ECE2"
"8720","ENSG00000145362",854.838512505902,1.7742588782383,1.16145925417827e-09,6.84827409359495e-08,"ANK2"
"8806","ENSG00000145936",20.380167967348,1.94965512540796,1.89200844109357e-06,3.65163712759486e-05,"KCNMB1"
"8822","ENSG00000146039",49.5118480733524,1.70992309184767,0.000445979094921919,0.00338425400677538,"SLC17A4"
"8829","ENSG00000146070",1538.94562336913,1.62275534146534,2.23332905147127e-09,1.19052702473811e-07,"PLA2G7"
"9006","ENSG00000147443",453.473765452441,1.76199467312078,1.18751996531132e-07,3.44013988406597e-06,"DOK2"
"9047","ENSG00000147689",12.7762297803911,-1.55920969595367,0.00356567627638309,0.0182087929907792,"FAM83A"
"9059","ENSG00000147862",1161.09922915923,1.65632845848091,2.22684934492765e-10,1.57252241270515e-08,"NFIB"
