"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name","FoldChange","FC"
"4726","ENSG00000117472",31.0303154798321,-1.47283568845484,0.00131664585987661,0.00808577359251418,"TSPAN1",0.360273467169022,-2.7756692932673
"4747","ENSG00000117594",358.420121336542,2.22108322337066,1.46740367790847e-13,2.57542217435023e-11,"HSD11B1",4.66243374214224,4.66243374214224
"4773","ENSG00000117834",13.5833778486341,1.74445171842812,3.24687650380659e-06,5.69864834429562e-05,"SLC5A9",3.35067490676415,3.35067490676415
"4805","ENSG00000118257",12836.3721661933,1.00326319111816,2.52586922721149e-08,9.41060347605667e-07,"NRP2",2.00452886336953,2.00452886336953
"4808","ENSG00000118271",12.6978420743154,1.54200352014413,0.0111669823762454,0.0449796638136999,"TTR",2.91198620317172,2.91198620317172
"4871","ENSG00000118946",376.462194129243,1.41420971470807,2.10069568910351e-08,8.06215844263102e-07,"PCDH17",2.66513703476517,2.66513703476517
"4888","ENSG00000119138",103.712703394758,1.94048750539785,2.42118617527946e-16,8.44937668517293e-14,"KLF9",3.83835328762807,3.83835328762807
"4958","ENSG00000119699",4879.67371858629,1.18163737785131,2.41381625874373e-06,4.45506266064628e-05,"TGFB3",2.26834074958544,2.26834074958544
"5046","ENSG00000120279",376.09064927595,1.1199601208356,5.79950128241271e-07,1.31759752072498e-05,"MYCT1",2.17340964654898,2.17340964654898
"5060","ENSG00000120337",55.3551801677085,1.60496652363292,0.00356793038369342,0.018217204265976,"TNFSF18",3.04188692156852,3.04188692156852
"5061","ENSG00000120341",4.23540173146461,1.1013699974462,0.00517760799636522,0.0245831943026282,"SEC16B",2.14558342517072,2.14558342517072
"5062","ENSG00000120341",4.23540173146461,1.1013699974462,0.00517760799636522,0.0245831943026282,"SEC16B",2.14558342517072,2.14558342517072
"5069","ENSG00000120457",1398.61901636065,1.91094917496979,2.17746669570522e-09,1.17114929160404e-07,"KCNJ5",3.76056432593086,3.76056432593086
"5084","ENSG00000120645",156.155417418709,1.33578943452012,0.00013461185021744,0.00126486250742824,"IQSEC3",2.52413563250149,2.52413563250149
"5132","ENSG00000120915",927.132735545334,1.19677474486519,8.32798684068146e-07,1.79683350871698e-05,"EPHX2",2.29226644058204,2.29226644058204
"5383","ENSG00000123329",475.718549607078,1.31017394304405,0.000308278120480936,0.00248643992256755,"ARHGAP9",2.47971435637957,2.47971435637957
"5455","ENSG00000123999",19234.9790610381,-2.50571816378668,8.65410996477022e-11,6.83492495428115e-09,"INHA",0.17607742242906,-5.67931984807926
"5538","ENSG00000124440",1805.19520759602,1.31405962140177,1.28051241431449e-05,0.000179247847847044,"HIF3A",2.48640208974826,2.48640208974826
"5543","ENSG00000124467",47630.224844439,-1.33122600678375,0.000773119401659213,0.00527098125456527,"PSG8",0.397430360760882,-2.51616408491162
"5587","ENSG00000124721",102.239269517869,1.52726713221615,0.000636916354985422,0.00450297612386867,"DNAH8",2.88239315778358,2.88239315778358
"5608","ENSG00000124813",160.364342755954,1.02068956193957,0.00459935103630484,0.0224411840841458,"RUNX2",2.02888847145473,2.02888847145473
"5673","ENSG00000125462",794.197179573083,-1.37213835882315,4.73756018120072e-07,1.1047681131173e-05,"C1orf61",0.386318223959861,-2.58853954584317
"5872","ENSG00000126785",202.458297632955,1.04076872087283,0.000760366927592483,0.00519660773644628,"RHOJ",2.05732357882971,2.05732357882971
"5883","ENSG00000126860",190.973602171801,1.58362797293989,6.3410267979176e-05,0.000682592884717013,"EVI2A",2.99722621060201,2.99722621060201
"5907","ENSG00000127124",282.368158499095,1.23249298434114,5.95683544835521e-09,2.78902567045299e-07,"HIVEP3",2.34972673203939,2.34972673203939
"6030","ENSG00000128310",3.89075227792129,-1.15416222657762,0.00699834065633499,0.0311346278947415,"GALR3",0.449327035034815,-2.2255504833412
