"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"2984","ENSG00000104848",2475.17389407141,-2.42230281994211,9.72795701311845e-10,5.89808981571133e-08,"KCNA7"
"3003","ENSG00000104894",764.064289307101,2.07655590012556,2.81187612061861e-14,6.1233842364052e-12,"CD37"
"3034","ENSG00000105048",430.853824562252,1.62420398920962,4.53941167615723e-08,1.54990697639171e-06,"TNNT1"
"3068","ENSG00000105246",84732.4677928829,-1.46949838216418,3.06895276024674e-07,7.64360250958715e-06,"EBI3"
"3133","ENSG00000105516",132.966629989524,1.02972138729289,1.5198851658388e-09,8.62283432838451e-08,"DBP"
"3328","ENSG00000106536",121.168556726493,1.16919462552772,0.000710053984106761,0.00491696819820307,"POU6F2"
"3378","ENSG00000106852",153.745195077042,1.88485948770161,3.57901583337201e-05,0.000426412954311872,"LHX6"
"3383","ENSG00000106952",65.9125440049676,1.80231846752761,1.70497441750647e-07,4.67730276217589e-06,"TNFSF8"
"3397","ENSG00000107105",4.85779338908687,-1.48814134849232,0.000181428359317945,0.00161429822705312,"ELAVL2"
"3512","ENSG00000108255",21.6128941697625,-1.33550772641263,0.000291848019037014,0.0023743406742583,"CRYBA1"
"3725","ENSG00000109906",24.1147666776428,3.02940500937839,6.60297321984609e-16,2.06425450285438e-13,"ZBTB16"
"3862","ENSG00000111186",192.63440796046,1.91723452039545,2.69053619476333e-09,1.38981707878205e-07,"WNT5B"
"4052","ENSG00000112299",254.772734061079,1.87964708415325,3.77520736387753e-07,9.08850123339663e-06,"VNN1"
"4091","ENSG00000112562",807.410329032191,1.05558873049687,0.000365686028073451,0.00285806486316156,"SMOC2"
"4126","ENSG00000112837",268.758238048429,1.56260326643078,6.59876813679488e-05,0.000704776616802449,"TBX18"
"4149","ENSG00000113083",1950.29631251793,-1.79119935879968,3.04726500058759e-07,7.60852888499458e-06,"LOX"
"4226","ENSG00000113657",1502.07939142671,1.62537565518256,2.93941976264873e-07,7.38843098129093e-06,"DPYSL3"
"4384","ENSG00000115155",31.1372145486141,-1.61966202590463,7.06758626930794e-06,0.000109167472524174,"OTOF"
"4468","ENSG00000115590",1615.50112764268,-1.00650641725799,0.00131607397070216,0.0080839156792291,"IL1R2"
"4511","ENSG00000115884",107490.425236674,-1.29458046140661,2.63314769643317e-05,0.000332024585285669,"SDC1"
"4552","ENSG00000116147",77.3517044249528,-1.46273200425613,8.43896034248839e-08,2.58198125968094e-06,"TNR"
"4620","ENSG00000116711",191.441291828956,1.74134484078332,2.16166252026072e-11,2.00233998636003e-09,"PLA2G4A"
"4725","ENSG00000117461",854.111166279745,1.07962654622232,0.000124972860417632,0.00119182888047473,"PIK3R3"
"4726","ENSG00000117472",31.0303154798321,-1.47283568845484,0.00131664585987661,0.00808577359251418,"TSPAN1"
"4747","ENSG00000117594",358.420121336542,2.22108322337066,1.46740367790847e-13,2.57542217435023e-11,"HSD11B1"
